id,surface,status,requirement,desired_reference,evidence,legacy,react,tests
T13,platform,not_applicable,Full-duplex voice interaction,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: voice gated on T37 — not React cockpit chrome. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T27.6,other,not_applicable,The server-side server-driven-UI producer is rebuilt with multi-provider composition,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: server-driven ViewNode producer — not the React cockpit. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T27.7,other,not_applicable,Jevons owns a desktop menu-bar/tray head rendering the aggregated hub UI,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: desktop tray head — not cockpit/chat/composer/tree. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T53,other,missing,The released jevonsd binary serves the web UI standalone — no repo checkout required,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Standalone React distribution is not implemented in the equivalent embedded path. The binary embeds web/index.html and scripts; React requires an on-disk ui/dist. At the standard port, missing dist fails closed. Building a dist on this audit host does not establish a checkout-free installation.",web/embed.go:16; internal/server/devserver.go:48,internal/server/react_ui.go:53; cmd/jevonsd/main.go:580,
T56,impl,partial,The chat history view is virtualised — only on-screen messages are in the DOM,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"React mounts TanStack virtual items with bounded overscan, preserving the bounded-DOM architecture. A long-history DOM/performance measurement and equal replay/follow behavior are still required; this is not a performance pass.",web/scripts/virtual_list.js:1,ui/src/components/AgentTranscript.tsx:85; ui/src/transcript/hydrateOverscan.ts:20,
T61,delivery,not_applicable,"Worker replies reach the overseer — a directed worker's completion is delivered, not silently dropped",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: overseer delivery / queue MCP path, not cockpit paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T62,delivery,not_applicable,"Async overseer notifications survive an overseer-busy collision — queued and delivered, never dropped on 'prompt already in flight'",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: overseer delivery / queue MCP path, not cockpit paint. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T96,doctrine,not_applicable,"Grok CLI capability audit maps which features Jevons should embody conversationally (voice-first, not slash-command parity)",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: Grok CLI capability research note. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement.",,,
T103,other,partial,"Sooner tranche: live progress, fleet tree+sort, basic impatience/alter-ego, and RSI target-filing — parallelizable with week-of-use batch under clear lanes",Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"This tranche combines distinct obligations. Root phase and parent tree have React implementations; missing portfolio, interactive fleet and aside paths prevent an umbrella fidelity claim. Persona/RSI filing and edit-coordination clauses are shared non-UI obligations.",web/index.html:6480; web/scripts/working_progress.js:1,ui/src/components/OverseerPhaseStrip.tsx:1; ui/src/components/AgentTree.tsx:1; ui/src/App.tsx:318,
T105.2,doctrine,not_applicable,T65 prefix-first attention threads have hermetic UI oracle coverage,Frozen legacy MAIN behavior plus current owner decisions and explicit target supersessions. Sidebar uses the same main-derived component and interaction contract; old sidebar peculiarities are excluded.,"Outside frontend fidelity scope: how we test T65 prefix UX — not a pixel. Full acceptance retained below. This scope decision does not certify the server, mobile, release process or test infrastructure as passing and does not delete the requirement. This is a retained verification obligation, not a pixel or a runtime feature. Excluding it from behavior counts must not waive the corresponding React prefix/collapse/visible-transcript oracle before the legacy test/reference path is deleted.",,,
